cutoff,trial_number,base_dim,n_layers,latent_dim,activation,strategy,dropout_rate,epochs,learning_rate,loss,permanova,n_clusters,noise_ratio,beta_kl,weight_decay,grad_clip_norm,csm,kl_warmup_ratio,norm
0.1,105,768,3,48,relu,constant,0.3,150,0.0008801720780036723,0.9086652398109436,0.10522266500750768,5,0.8672480620155039,0.02518742998618142,8.07423359270267e-05,0.5008474600271158,leaf,0.5198951733481803,batchnorm
0.03,107,768,3,50,relu,constant,0.5,150,0.0005227307439100703,0.5832853317260742,0.24479382233806538,2,0.8856589147286822,0.0997491441493829,0.00029198336923694495,0.5707689507388519,eom,0.49285558586500516,batchnorm
0.03,108,768,3,49,relu,halve,0.3,150,0.00031718812451750637,0.5623298287391663,0.026881838668173695,9,0.8866279069767442,0.06705708202859553,2.491276498423267e-05,0.6030987429896423,leaf,0.551437497008294,batchnorm
0.07,109,768,3,44,relu,halve,0.3,150,0.0004333373685718213,0.7157544493675232,0.05852638551868269,6,0.9176356589147286,0.08815488012314632,4.778992314792189e-05,0.67423393424784,leaf,0.5130004817566781,batchnorm
0.03,110,768,3,52,relu,constant,0.3,150,0.0003520075165309245,0.4191361367702484,0.04400742164053659,7,0.8556201550387597,0.04685431295872715,0.0001358675664082986,0.5427363601545714,leaf,0.4719399504388712,batchnorm
0.03,111,768,3,57,relu,constant,0.3,150,0.0006975773861233117,0.4343671202659607,0.06127612575770836,13,0.7877906976744186,0.02710925461924839,1.6244109441201756e-05,0.6367719044919181,leaf,0.4505113948050768,batchnorm
0.03,112,768,3,53,relu,constant,0.3,150,0.0006522239156274435,0.5086157321929932,0.08554028731165574,7,0.8226744186046512,0.051935141113953316,2.6458143816109396e-06,0.5627487833467426,leaf,0.3197352982670071,batchnorm
0.03,113,768,3,56,relu,constant,0.3,150,0.0007576018669282905,0.5643285512924194,0.11080884958108154,6,0.8284883720930233,0.06031887455544001,3.767475489127674e-06,1.2489590232592975,leaf,0.4840223598197328,batchnorm
0.03,114,768,3,55,relu,constant,0.3,150,0.0005656614893468862,0.3959352672100067,0.034063377111880164,19,0.7810077519379846,0.025781958568927517,2.9352518268076997e-05,0.5024763188369027,leaf,0.43938415458615665,batchnorm
0.01,115,768,3,51,relu,halve,0.3,150,0.00046276696115223753,0.33407843112945557,0.1519571717599607,7,0.8895348837209303,0.04292908175518911,9.879846297155928e-06,0.6571356999451757,leaf,0.5254228394280135,batchnorm
